match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
CANADA vs PAKISTAN,CANADA,Junaid Siddiqui,3,0,28,0,0,1,9.30
NAMIBIA vs AUSTRALIA,AUSTRALIA,Hazlewood,4,0,18,2,0,2,4.50
NAMIBIA vs AUSTRALIA,AUSTRALIA,Stoinis,3,0,9,2,0,2,3.00
NAMIBIA vs AUSTRALIA,AUSTRALIA,Cummins,3,1,16,1,0,0,5.30
NAMIBIA vs AUSTRALIA,AUSTRALIA,Zampa,4,0,12,4,0,0,3.00
NAMIBIA vs AUSTRALIA,AUSTRALIA,Nathan Ellis,3,1,12,1,0,0,4.00
NAMIBIA vs AUSTRALIA,NAMIBIA,Ruben Trumpelmann,2,0,19,0,0,0,9.50
NAMIBIA vs AUSTRALIA,NAMIBIA,David Wiese,1,0,15,1,0,1,15.00
NAMIBIA vs AUSTRALIA,NAMIBIA,Ben Shikongo,1,0,19,0,0,0,19.00
NAMIBIA vs AUSTRALIA,NAMIBIA,Gerhard Erasmus (c),1,0,6,0,0,0,6.00
NAMIBIA vs AUSTRALIA,NAMIBIA,Jack Brassell,0.4,0,14,0,0,0,21.00
UNITED STATES OF AMERICA vs INDIA,INDIA,Arshdeep Singh,4,0,9,4,0,1,2.20
UNITED STATES OF AMERICA vs INDIA,INDIA,Siraj,4,0,25,0,0,0,6.20
UNITED STATES OF AMERICA vs INDIA,INDIA,Bumrah,4,0,25,0,0,5,6.20
UNITED STATES OF AMERICA vs INDIA,INDIA,Hardik Pandya,4,1,14,2,0,0,3.50
UNITED STATES OF AMERICA vs INDIA,INDIA,Shivam Dube,1,0,11,0,0,0,11.00
UNITED STATES OF AMERICA vs INDIA,INDIA,Axar,3,0,25,1,0,1,8.30
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,Saurabh Netravalkar,4,0,18,2,0,0,4.50
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,Ali Khan,3.2,0,21,1,0,1,6.30
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,Jasdeep Singh,4,0,24,0,1,0,6.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,Shadley van Schalkwyk,4,0,25,0,0,0,6.20
